OBJECTID,STATE,COUNTY,TRACT,TRACT_NO,FIPS,tract_string,statename,countyname,Mean_UHI_2017,Mean_TWI_2014,Carbon_Lbs_Tract,Carbon_Lbs_Acre,Index_UHI_TWI,Shape__Area,Shape__Length
163,41,051,010600,106,41051010600,41051010600,Oregon,Multnomah County,0.793447638107043,8.55225351056964,4527133.60455862,15001.1674630735,0.999871722012764,13145771.1669922,14731.8517851004
164,41,051,002303,23.03,41051002303,41051002303,Oregon,Multnomah County,3.51283641973623,7.70964280568866,5390787.55785608,9958.3342999549,1.03277430622002,23580517.4472656,23280.3551031973
165,41,051,002203,22.03,41051002203,41051002203,Oregon,Multnomah County,2.07569274902344,7.71798941120389,6882708.50204573,19744.6776189148,0.598255507847617,15184383.0195313,18355.279022136
166,41,051,000302,3.02,41051000302,41051000302,Oregon,Multnomah County,-1.5124677804469,7.54731179636842,32864979.0823144,41374.2756847748,-0.66944792660536,34601169.1484375,24868.3187780815
167,41,051,000401,4.01,41051000401,41051000401,Oregon,Multnomah County,2.09702552304985,8.47006206257225,8295624.26776027,24749.9781062304,1.32277227929335,14600309.6723633,16324.9734363134
168,41,051,000402,4.02,41051000402,41051000402,Oregon,Multnomah County,3.2373638138393,9.39851040200904,5837609.8962192,20183.060566671,2.56019610581341,12598993.8344727,15566.5484061198
169,41,051,000501,5.01,41051000501,41051000501,Oregon,Multnomah County,3.81038041050113,8.9044658958191,4774704.40606608,17129.1304629009,2.26499596394333,12142244.8115234,14801.8790817952
170,41,051,000502,5.02,41051000502,41051000502,Oregon,Multnomah County,4.33081136482263,9.33878062041522,7610375.5202722,21437.422011675,2.83984147710077,15463982.6196289,19523.4719354654
171,41,051,000601,6.01,41051000601,41051000601,Oregon,Multnomah County,3.89727698169626,9.44115831045124,9396984.4467528,18705.8854506993,2.8040916767139,21882556.2348633,19674.2742889876
172,41,051,000602,6.02,41051000602,41051000602,Oregon,Multnomah County,4.88371999160103,8.81204720126384,5699342.47052493,13907.3249603156,2.50724452330171,17851263.7285156,20644.0146507469
